Date,Country/Region,Confirmed
2021/06/06,Afghanistan,79224
2021/06/07,Afghanistan,80841
2021/06/08,Afghanistan,82326
2021/06/09,Afghanistan,84050
2021/06/10,Afghanistan,85892
2021/06/11,Afghanistan,87716
2021/06/12,Afghanistan,88740
2021/06/13,Afghanistan,89861
2021/06/14,Afghanistan,91458
2021/06/15,Afghanistan,93272
2021/06/16,Afghanistan,93288
2021/06/17,Afghanistan,96531
2021/06/18,Afghanistan,98734
2021/06/19,Afghanistan,100521
2021/06/20,Afghanistan,101906
2021/06/21,Afghanistan,103902
2021/06/22,Afghanistan,105749
2021/06/23,Afghanistan,107957
2021/06/24,Afghanistan,109532
2021/06/25,Afghanistan,111592
2021/06/26,Afghanistan,113124
2021/06/27,Afghanistan,114220
2021/06/28,Afghanistan,115751
2021/06/29,Afghanistan,117158
2021/06/30,Afghanistan,118659
2021/07/01,Afghanistan,120216
2021/07/02,Afghanistan,122156
2021/07/03,Afghanistan,123485
2021/07/04,Afghanistan,124748
2021/07/05,Afghanistan,125937
2021/07/06,Afghanistan,127464
2021/07/07,Afghanistan,129021
2021/07/08,Afghanistan,130113
2021/07/09,Afghanistan,131586
2021/07/10,Afghanistan,132777
2021/07/11,Afghanistan,133578
2021/07/12,Afghanistan,134653
2021/07/13,Afghanistan,135889
2021/07/14,Afghanistan,136643
2021/07/15,Afghanistan,137853
2021/07/16,Afghanistan,139051
2021/07/17,Afghanistan,140224
2021/07/18,Afghanistan,140602
2021/07/19,Afghanistan,141499
2021/07/20,Afghanistan,142414
2021/07/21,Afghanistan,142762
2021/07/22,Afghanistan,143183
2021/07/23,Afghanistan,143439
2021/07/24,Afghanistan,143666
2021/07/25,Afghanistan,143871
2021/07/26,Afghanistan,144285
2021/07/27,Afghanistan,145008
2021/07/28,Afghanistan,145552
2021/07/29,Afghanistan,145996
2021/07/30,Afghanistan,146523
2021/07/31,Afghanistan,147154
2021/08/01,Afghanistan,147501
2021/08/02,Afghanistan,147985
2021/08/03,Afghanistan,148572
2021/08/04,Afghanistan,148933
2021/08/05,Afghanistan,149361
2021/08/06,Afghanistan,149810
2021/08/07,Afghanistan,150240
2021/08/08,Afghanistan,150458
2021/08/09,Afghanistan,150778
2021/08/10,Afghanistan,151013
2021/08/11,Afghanistan,151291
2021/08/12,Afghanistan,151563
2021/08/13,Afghanistan,151770
2021/08/14,Afghanistan,151941
2021/08/15,Afghanistan,152033
2021/08/16,Afghanistan,152142
2021/08/17,Afghanistan,152243
2021/08/18,Afghanistan,152363
2021/08/19,Afghanistan,152411
2021/08/20,Afghanistan,152448
2021/08/21,Afghanistan,152497
2021/08/22,Afghanistan,152511
2021/08/23,Afghanistan,152583
2021/08/24,Afghanistan,152660
2021/08/25,Afghanistan,152722
2021/08/26,Afghanistan,152822
2021/08/27,Afghanistan,152960
2021/08/28,Afghanistan,153007
2021/08/29,Afghanistan,153033
2021/08/30,Afghanistan,153148
2021/08/31,Afghanistan,153220
2021/09/01,Afghanistan,153260
2021/09/02,Afghanistan,153306
2021/09/03,Afghanistan,153375
2021/09/04,Afghanistan,153395
2021/09/05,Afghanistan,153423
2021/09/06,Afghanistan,153534
2021/09/07,Afghanistan,153626
2021/09/08,Afghanistan,153736
2021/09/09,Afghanistan,153840
2021/09/10,Afghanistan,153962
2021/09/11,Afghanistan,153982
2021/09/12,Afghanistan,153990
2021/09/13,Afghanistan,154094
2021/09/14,Afghanistan,154180
2021/09/15,Afghanistan,154283
2021/09/16,Afghanistan,154361
2021/09/17,Afghanistan,154487
2021/09/18,Afghanistan,154487
2021/09/19,Afghanistan,154487
2021/09/20,Afghanistan,154585
2021/09/21,Afghanistan,154712
2021/09/22,Afghanistan,154757
2021/09/23,Afghanistan,154800
2021/09/24,Afghanistan,154960
2021/09/25,Afghanistan,154960
2021/09/26,Afghanistan,154960
2021/09/27,Afghanistan,155072
2021/09/28,Afghanistan,155093
2021/09/29,Afghanistan,155128
2021/09/30,Afghanistan,155174
2021/10/01,Afghanistan,155191
2021/10/02,Afghanistan,155191
2021/10/03,Afghanistan,155191
2021/10/04,Afghanistan,155287
2021/10/05,Afghanistan,155309
2021/10/06,Afghanistan,155380
2021/10/07,Afghanistan,155429
2021/10/08,Afghanistan,155448
2021/10/09,Afghanistan,155466
2021/10/10,Afghanistan,155508
2021/10/11,Afghanistan,155540
2021/10/12,Afghanistan,155599
2021/10/13,Afghanistan,155627
2021/10/14,Afghanistan,155682
2021/10/15,Afghanistan,155688
2021/10/16,Afghanistan,155739
2021/10/17,Afghanistan,155764
2021/10/18,Afghanistan,155776
2021/10/19,Afghanistan,155801
2021/10/20,Afghanistan,155859
2021/10/21,Afghanistan,155891
2021/10/22,Afghanistan,155931
2021/10/23,Afghanistan,155940
2021/10/24,Afghanistan,155944
2021/10/25,Afghanistan,156040
2021/10/26,Afghanistan,156071
2021/10/27,Afghanistan,156124
2021/10/28,Afghanistan,156166
2021/10/29,Afghanistan,156196
2021/10/30,Afghanistan,156210
2021/10/31,Afghanistan,156250
2021/11/01,Afghanistan,156284
2021/11/02,Afghanistan,156307
2021/11/03,Afghanistan,156323
2021/11/04,Afghanistan,156363
2021/11/05,Afghanistan,156392
2021/11/06,Afghanistan,156397
2021/11/07,Afghanistan,156397
2021/11/08,Afghanistan,156397
2021/11/09,Afghanistan,156397
2021/11/10,Afghanistan,156414
2021/11/11,Afghanistan,156456
2021/11/12,Afghanistan,156487
2021/11/13,Afghanistan,156510
2021/11/14,Afghanistan,156552
2021/11/15,Afghanistan,156610
2021/11/16,Afghanistan,156649
2021/11/17,Afghanistan,156739
2021/11/18,Afghanistan,156739
2021/11/19,Afghanistan,156812
2021/11/20,Afghanistan,156864
2021/11/21,Afghanistan,156896
2021/11/22,Afghanistan,156911
2021/11/23,Afghanistan,157015
2021/11/24,Afghanistan,157032
2021/11/25,Afghanistan,157144
2021/11/26,Afghanistan,157171
2021/11/27,Afghanistan,157190
2021/11/28,Afghanistan,157218
2021/11/29,Afghanistan,157260
2021/11/30,Afghanistan,157289
2021/12/01,Afghanistan,157359
2021/12/02,Afghanistan,157387
2021/12/03,Afghanistan,157412
2021/12/04,Afghanistan,157431
2021/12/05,Afghanistan,157454
2021/12/06,Afghanistan,157499
2021/12/07,Afghanistan,157508
2021/12/08,Afghanistan,157542
2021/12/09,Afghanistan,157585
2021/12/10,Afghanistan,157603
2021/12/11,Afghanistan,157611
2021/12/12,Afghanistan,157633
2021/12/13,Afghanistan,157648
2021/12/14,Afghanistan,157660
2021/12/15,Afghanistan,157665
